"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Juliaetta","10mibuffer","Q1","firehighdays_erc90",8.4375,"Q7",0.0485,0.9515,0.097,66.9666666666667,30.2,90.7,60.5
"Juliaetta","10mibuffer","Q1","firehighdays_erc95",4.16666666666667,"Q7",0.1375,0.8625,0.275,36.8,15.8,50.8,35
"Juliaetta","10mibuffer","Q5","firemaxrun_bi",0.909090909090909,"Q6",0.1665,0.8335,0.333,14.1,8.2,18.6,10.4
"Juliaetta","10mibuffer","Q5","firemaxrun_erc",3.07692307692308,"Q7",0.0355,0.9645,0.071,22.3,14.1,31.3,17.2
"Juliaetta","10mibuffer","Q3","firep95_erc",4.25614818915199,"Q7",0.06,0.94,0.12,71.8461612998014,64.8975512693374,76.1993578704827,11.3018066011452
"Juliaetta","10mibuffer","Q3","firepeak_bi",3.52288711556908,"Q7",0.078,0.922,0.156,64.2934440315333,58.4115793772452,66.4570143099685,8.04543493272324
"Juliaetta","10mibuffer","Q3","firepeak_erc",4.25663502648235,"Q7",0.101,0.899,0.202,79.9483952816268,73.2647449450478,82.953965559059,9.68922061401115
"Juliaetta","10mibuffer","Q5","fireseasonlength_bi",20,"Q7",0.115,0.885,0.23,301.433333333333,260.5,321.9,61.4
"Juliaetta","10mibuffer","Q5","fireseasonlength_erc",21.2310606060606,"Q6",0.178,0.822,0.356,285.103448275862,219.222222222222,316.8,97.5777777777778
"Juliaetta","10mibuffer","Q3","fireseverity_bi90",20.2505831469296,"Q6",0.22,0.78,0.44,250.208478042338,92.3067608926234,325.464872002342,233.158111109719
"Juliaetta","10mibuffer","Q3","fireseverity_erc90",42.1388345907855,"Q6",0.1625,0.8375,0.325,365.991471183479,141.602039119247,498.584012513398,356.981973394151
"Juliaetta","10mibuffer","Q4","firestart_any_bi90",-2.5,"Q2",0.756,0.244,0.488,31.3,47.4,23.1,-24.3
"Juliaetta","10mibuffer","Q4","firestart_any_erc90",-2.35294117647059,"Q3",0.6495,0.3505,0.701,44.7241379310345,76.3333333333333,24,-52.3333333333333
"Juliaetta","10mibuffer","Q4","firestart_k2_erc90",-2.20211161387632,"Q3",0.623,0.377,0.754,49.2758620689655,91,24,-67
"Juliaetta","10mibuffer","Q4","firestart_k3_bi90",-3.46153846153846,"Q3",0.6935,0.3065,0.613,51.7666666666667,84.9,23.9,-61
"Juliaetta","10mibuffer","Q4","firestart_k3_erc90",-3.3974358974359,"Q3",0.6825,0.3175,0.635,53.7931034482759,94.4444444444444,24,-70.4444444444444
"Juliaetta","10mibuffer","Q4","firestart_wyday_bi",-3.46153846153846,"Q3",0.6935,0.3065,0.613,51.7666666666667,84.9,23.9,-61
"Juliaetta","10mibuffer","Q4","firestart_wyday_erc",-3.3974358974359,"Q3",0.6825,0.3175,0.635,53.7931034482759,94.4444444444444,24,-70.4444444444444
