"town","buffer","question","metric","obs_slope_decade","qcat","p_upper","p_two"
"Juliaetta","none",NA,"firestart_k3_bi90",-2.36842105263158,"Q2",0.721,0.558
"Juliaetta","none",NA,"firestart_k3_erc90",-4,"Q3",0.6985,0.603
"Juliaetta","none","Q4","firestart_wyday_bi",-2.36842105263158,"Q2",0.721,0.558
"Juliaetta","none","Q4","firestart_wyday_erc",-4,"Q3",0.6985,0.603
"Juliaetta","none","Q2","firesummerhighdays_bi90",4.28571428571429,"Q6",0.1735,0.347
"Juliaetta","none","Q2","firesummerhighdays_erc90",5,"Q6",0.217,0.434
"Kendrick","10mibuffer","Q1","firehighdays_bi90",4.83870967741935,"Q5",0.321,0.642
"Kendrick","10mibuffer",NA,"firehighdays_bi95",1.42857142857143,"Q6",0.2835,0.567
"Kendrick","10mibuffer","Q1","firehighdays_erc90",7.83783783783784,"Q7",0.045,0.09
"Kendrick","10mibuffer",NA,"firehighdays_erc95",4.81481481481481,"Q7",0.074,0.148
"Kendrick","10mibuffer","Q5","firemaxrun_bi",1.2,"Q7",0.1,0.2
"Kendrick","10mibuffer","Q5","firemaxrun_erc",2.75862068965517,"Q7",0.0375,0.075
"Kendrick","10mibuffer","Q3","firep95_erc",4.34756617413402,"Q7",0.0695,0.139
"Kendrick","10mibuffer","Q3","firepeak_bi",3.74882067175555,"Q7",0.066,0.132
"Kendrick","10mibuffer","Q3","firepeak_erc",4.51717520151779,"Q7",0.0905,0.181
"Kendrick","10mibuffer","Q5","fireseasonlength_bi",20,"Q6",0.1575,0.315
"Kendrick","10mibuffer","Q5","fireseasonlength_erc",21.6666666666667,"Q6",0.2125,0.425
"Kendrick","10mibuffer",NA,"fireseverity_bi90",19.6441158009606,"Q6",0.2075,0.415
"Kendrick","10mibuffer",NA,"fireseverity_erc90",42.9491240008384,"Q7",0.121,0.242
"Kendrick","10mibuffer","Q4","firestart_any_bi90",-2.5,"Q3",0.7025,0.595
"Kendrick","10mibuffer","Q4","firestart_any_erc90",-3.33333333333333,"Q3",0.683,0.634
"Kendrick","10mibuffer",NA,"firestart_k2_erc90",-3.76689189189189,"Q3",0.697,0.606
"Kendrick","10mibuffer",NA,"firestart_k3_bi90",-3.33333333333333,"Q3",0.6845,0.631
"Kendrick","10mibuffer",NA,"firestart_k3_erc90",-5.30357142857143,"Q2",0.7625,0.475
"Kendrick","10mibuffer","Q4","firestart_wyday_bi",-3.33333333333333,"Q3",0.6845,0.631
"Kendrick","10mibuffer","Q4","firestart_wyday_erc",-5.30357142857143,"Q2",0.7625,0.475
"Kendrick","10mibuffer","Q2","firesummerhighdays_bi90",2.4,"Q6",0.248,0.496
"Kendrick","10mibuffer","Q2","firesummerhighdays_erc90",2.10526315789474,"Q5",0.3495,0.699
"Kendrick","none","Q1","firehighdays_bi90",6,"Q7",0.0485,0.097
"Kendrick","none",NA,"firehighdays_bi95",1.48148148148148,"Q5",0.2975,0.595
"Kendrick","none","Q1","firehighdays_erc90",7.77777777777778,"Q7",0.076,0.152
"Kendrick","none",NA,"firehighdays_erc95",3.46153846153846,"Q6",0.1955,0.391
