town,buffer,wateryear,metric,value
Bovill,10mibuffer,2003,annualpwd,-75.88351851129607
Bovill,10mibuffer,2004,annualpwd,120.66283340166365
Bovill,10mibuffer,2005,annualpwd,-176.1172639512049
Bovill,10mibuffer,2006,annualpwd,-16.09286445491273
Bovill,10mibuffer,2007,annualpwd,-142.5344944310615
Bovill,10mibuffer,2008,annualpwd,84.34363676354462
Bovill,10mibuffer,2009,annualpwd,-80.58276095869735
Bovill,10mibuffer,2010,annualpwd,-211.75010464791114
Bovill,10mibuffer,2011,annualpwd,222.84079807163084
Bovill,10mibuffer,2012,annualpwd,30.31694156130777
Bovill,10mibuffer,2013,annualpwd,-50.46519709735526
Bovill,10mibuffer,2014,annualpwd,-115.05870491729877
Bovill,10mibuffer,2015,annualpwd,-352.9329521981052
Bovill,10mibuffer,2016,annualpwd,-91.11656968287434
Bovill,10mibuffer,2017,annualpwd,104.48633349864394
Bovill,10mibuffer,2018,annualpwd,-2.293051347463802
Bovill,10mibuffer,2019,annualpwd,-79.59707361064443
Bovill,10mibuffer,2020,annualpwd,-177.65245211320348
Bovill,10mibuffer,2021,annualpwd,-352.0019365290217
Bovill,10mibuffer,2022,annualpwd,7.915355122834285
Bovill,10mibuffer,2023,annualpwd,-260.01418730037506
Bovill,10mibuffer,2024,annualpwd,-267.22176899620354
Bovill,10mibuffer,2025,annualpwd,-378.71778595351066
Bovill,10mibuffer,1980,coolseasonanomprecip,-77.99711374662007
Bovill,10mibuffer,1981,coolseasonanomprecip,-93.81119490418918
Bovill,10mibuffer,1982,coolseasonanomprecip,143.46996732640386
Bovill,10mibuffer,1983,coolseasonanomprecip,78.14245718337268
Bovill,10mibuffer,1984,coolseasonanomprecip,19.27807860821983
Bovill,10mibuffer,1985,coolseasonanomprecip,-54.36796448528691
Bovill,10mibuffer,1986,coolseasonanomprecip,-28.4162399790816
Bovill,10mibuffer,1987,coolseasonanomprecip,-171.90861392220975
Bovill,10mibuffer,1988,coolseasonanomprecip,-177.33929620204503
Bovill,10mibuffer,1989,coolseasonanomprecip,30.89372729060291
Bovill,10mibuffer,1990,coolseasonanomprecip,-5.0012207008089264
Bovill,10mibuffer,1991,coolseasonanomprecip,59.46202417428742
Bovill,10mibuffer,1992,coolseasonanomprecip,-155.32898798223113
Bovill,10mibuffer,1993,coolseasonanomprecip,-167.4824426301056
Bovill,10mibuffer,1994,coolseasonanomprecip,-252.1990569431803
Bovill,10mibuffer,1995,coolseasonanomprecip,100.50836037576792
Bovill,10mibuffer,1996,coolseasonanomprecip,241.35743477804667
Bovill,10mibuffer,1997,coolseasonanomprecip,337.5011781304434
Bovill,10mibuffer,1998,coolseasonanomprecip,-112.16937647541197
Bovill,10mibuffer,1999,coolseasonanomprecip,191.07250693915176
Bovill,10mibuffer,2000,coolseasonanomprecip,90.47722890922331
Bovill,10mibuffer,2001,coolseasonanomprecip,-264.0102021060812
Bovill,10mibuffer,2002,coolseasonanomprecip,142.65609732164188
Bovill,10mibuffer,2003,coolseasonanomprecip,-8.084505563597453
Bovill,10mibuffer,2004,coolseasonanomprecip,-59.343752005085385
Bovill,10mibuffer,2005,coolseasonanomprecip,-179.80119982279982
Bovill,10mibuffer,2006,coolseasonanomprecip,31.062433930944298
Bovill,10mibuffer,2007,coolseasonanomprecip,55.22637606590462
Bovill,10mibuffer,2008,coolseasonanomprecip,80.2989582079131
Bovill,10mibuffer,2009,coolseasonanomprecip,-18.079561895168826
Bovill,10mibuffer,2010,coolseasonanomprecip,-278.3732888945361
Bovill,10mibuffer,2011,coolseasonanomprecip,127.5882579686011
Bovill,10mibuffer,2012,coolseasonanomprecip,28.200799156820807
Bovill,10mibuffer,2013,coolseasonanomprecip,-67.48374217640621
Bovill,10mibuffer,2014,coolseasonanomprecip,-52.08039074148129
Bovill,10mibuffer,2015,coolseasonanomprecip,-39.25069376913929
Bovill,10mibuffer,2016,coolseasonanomprecip,55.458456490175934
Bovill,10mibuffer,2017,coolseasonanomprecip,220.30382258105138
Bovill,10mibuffer,2018,coolseasonanomprecip,90.29514197329183
Bovill,10mibuffer,2019,coolseasonanomprecip,-114.79989903761327
Bovill,10mibuffer,2020,coolseasonanomprecip,-67.68491925707845
Bovill,10mibuffer,2021,coolseasonanomprecip,-38.04936996977099
Bovill,10mibuffer,2022,coolseasonanomprecip,-12.834551551458638
Bovill,10mibuffer,2023,coolseasonanomprecip,-139.05853130039463
Bovill,10mibuffer,2024,coolseasonanomprecip,-149.01196250648167
