"date","prcp","coord","day","month","year"
1951-12-28,7.5,"Bovill",28,12,1951
1951-12-29,8.5625,"Bovill",29,12,1951
1951-12-30,13.15625,"Bovill",30,12,1951
1951-12-31,1.1484375,"Bovill",31,12,1951
1952-01-01,0,"Bovill",1,1,1952
1952-01-02,0,"Bovill",2,1,1952
1952-01-03,0,"Bovill",3,1,1952
1952-01-04,1.3203125,"Bovill",4,1,1952
1952-01-05,0.7890625,"Bovill",5,1,1952
1952-01-06,0.4765625,"Bovill",6,1,1952
1952-01-07,2.78125,"Bovill",7,1,1952
1952-01-08,4.3125,"Bovill",8,1,1952
1952-01-09,1.9609375,"Bovill",9,1,1952
1952-01-10,8.4765625,"Bovill",10,1,1952
1952-01-11,1.7734375,"Bovill",11,1,1952
1952-01-12,2.3828125,"Bovill",12,1,1952
1952-01-13,0.609375,"Bovill",13,1,1952
1952-01-14,2.4765625,"Bovill",14,1,1952
1952-01-15,3.2734375,"Bovill",15,1,1952
1952-01-16,0.90625,"Bovill",16,1,1952
1952-01-17,0,"Bovill",17,1,1952
1952-01-18,0,"Bovill",18,1,1952
1952-01-19,1.7578125,"Bovill",19,1,1952
1952-01-20,4.7890625,"Bovill",20,1,1952
1952-01-21,2.0078125,"Bovill",21,1,1952
1952-01-22,4.546875,"Bovill",22,1,1952
1952-01-23,4.328125,"Bovill",23,1,1952
1952-01-24,14.71875,"Bovill",24,1,1952
1952-01-25,5.84375,"Bovill",25,1,1952
1952-01-26,0,"Bovill",26,1,1952
1952-01-27,0,"Bovill",27,1,1952
1952-01-28,0,"Bovill",28,1,1952
1952-01-29,0,"Bovill",29,1,1952
1952-01-30,17.171875,"Bovill",30,1,1952
1952-01-31,14.7421875,"Bovill",31,1,1952
1952-02-01,8.8515625,"Bovill",1,2,1952
1952-02-02,3.078125,"Bovill",2,2,1952
1952-02-03,13.5625,"Bovill",3,2,1952
1952-02-04,13.15625,"Bovill",4,2,1952
1952-02-05,0,"Bovill",5,2,1952
1952-02-06,0,"Bovill",6,2,1952
1952-02-07,0,"Bovill",7,2,1952
1952-02-08,0,"Bovill",8,2,1952
1952-02-09,0,"Bovill",9,2,1952
1952-02-10,0,"Bovill",10,2,1952
1952-02-11,0,"Bovill",11,2,1952
1952-02-12,3.578125,"Bovill",12,2,1952
1952-02-13,0,"Bovill",13,2,1952
1952-02-14,0,"Bovill",14,2,1952
1952-02-15,4.328125,"Bovill",15,2,1952
1952-02-16,7.4296875,"Bovill",16,2,1952
1952-02-17,3.6484375,"Bovill",17,2,1952
1952-02-18,0,"Bovill",18,2,1952
1952-02-19,0,"Bovill",19,2,1952
1952-02-20,3.1484375,"Bovill",20,2,1952
1952-02-21,2.671875,"Bovill",21,2,1952
1952-02-22,0,"Bovill",22,2,1952
1952-02-23,0,"Bovill",23,2,1952
1952-02-24,0,"Bovill",24,2,1952
1952-02-25,0,"Bovill",25,2,1952
1952-02-26,0,"Bovill",26,2,1952
1952-02-27,1.6484375,"Bovill",27,2,1952
1952-02-28,0,"Bovill",28,2,1952
1952-02-29,3.2421875,"Bovill",29,2,1952
1952-03-01,1.3515625,"Bovill",1,3,1952
1952-03-02,0,"Bovill",2,3,1952
1952-03-03,0,"Bovill",3,3,1952
1952-03-04,6.546875,"Bovill",4,3,1952
1952-03-05,6.2734375,"Bovill",5,3,1952
1952-03-06,0,"Bovill",6,3,1952
1952-03-07,0,"Bovill",7,3,1952
1952-03-08,0,"Bovill",8,3,1952
1952-03-09,0,"Bovill",9,3,1952
1952-03-10,10.421875,"Bovill",10,3,1952
1952-03-11,0,"Bovill",11,3,1952
1952-03-12,2.6015625,"Bovill",12,3,1952
1952-03-13,0,"Bovill",13,3,1952
1952-03-14,0,"Bovill",14,3,1952
1952-03-15,0,"Bovill",15,3,1952
1952-03-16,0,"Bovill",16,3,1952
1952-03-17,0,"Bovill",17,3,1952
1952-03-18,5.7578125,"Bovill",18,3,1952
1952-03-19,3.2734375,"Bovill",19,3,1952
1952-03-20,3.4765625,"Bovill",20,3,1952
1952-03-21,0,"Bovill",21,3,1952
1952-03-22,0,"Bovill",22,3,1952
1952-03-23,4.3515625,"Bovill",23,3,1952
1952-03-24,12.2734375,"Bovill",24,3,1952
1952-03-25,2.4296875,"Bovill",25,3,1952
1952-03-26,0,"Bovill",26,3,1952
1952-03-27,0,"Bovill",27,3,1952
1952-03-28,0,"Bovill",28,3,1952
1952-03-29,1.1484375,"Bovill",29,3,1952
1952-03-30,7.7890625,"Bovill",30,3,1952
1952-03-31,8.453125,"Bovill",31,3,1952
1952-04-01,0,"Bovill",1,4,1952
1952-04-02,4.0625,"Bovill",2,4,1952
1952-04-03,0,"Bovill",3,4,1952
1952-04-04,0,"Bovill",4,4,1952
1952-04-05,0,"Bovill",5,4,1952
1952-04-06,0,"Bovill",6,4,1952
1952-04-07,2.703125,"Bovill",7,4,1952
1952-04-08,0,"Bovill",8,4,1952
1952-04-09,0,"Bovill",9,4,1952
1952-04-10,0,"Bovill",10,4,1952
1952-04-11,0,"Bovill",11,4,1952
1952-04-12,0,"Bovill",12,4,1952
1952-04-13,0,"Bovill",13,4,1952
1952-04-14,3.0078125,"Bovill",14,4,1952
1952-04-15,3.671875,"Bovill",15,4,1952
1952-04-16,0,"Bovill",16,4,1952
1952-04-17,0,"Bovill",17,4,1952
1952-04-18,0,"Bovill",18,4,1952
1952-04-19,2.703125,"Bovill",19,4,1952
1952-04-20,0,"Bovill",20,4,1952
1952-04-21,0,"Bovill",21,4,1952
1952-04-22,0,"Bovill",22,4,1952
1952-04-23,0,"Bovill",23,4,1952
1952-04-24,0,"Bovill",24,4,1952
1952-04-25,0,"Bovill",25,4,1952
1952-04-26,0,"Bovill",26,4,1952
1952-04-27,0,"Bovill",27,4,1952
1952-04-28,13.7578125,"Bovill",28,4,1952
1952-04-29,0,"Bovill",29,4,1952
1952-04-30,1.8203125,"Bovill",30,4,1952
1952-05-01,7.671875,"Bovill",1,5,1952
1952-05-02,0,"Bovill",2,5,1952
1952-05-03,2.2890625,"Bovill",3,5,1952
1952-05-04,3.296875,"Bovill",4,5,1952
1952-05-05,0.171875,"Bovill",5,5,1952
1952-05-06,1.46875,"Bovill",6,5,1952
1952-05-07,1.6484375,"Bovill",7,5,1952
1952-05-08,8.71875,"Bovill",8,5,1952
1952-05-09,2.75,"Bovill",9,5,1952
1952-05-10,0,"Bovill",10,5,1952
1952-05-11,0,"Bovill",11,5,1952
1952-05-12,0,"Bovill",12,5,1952
1952-05-13,1.90625,"Bovill",13,5,1952
1952-05-14,14.40625,"Bovill",14,5,1952
1952-05-15,3.9765625,"Bovill",15,5,1952
1952-05-16,1.8515625,"Bovill",16,5,1952
1952-05-17,0,"Bovill",17,5,1952
1952-05-18,0,"Bovill",18,5,1952
1952-05-19,0,"Bovill",19,5,1952
1952-05-20,5.421875,"Bovill",20,5,1952
1952-05-21,3.0234375,"Bovill",21,5,1952
1952-05-22,0,"Bovill",22,5,1952
1952-05-23,0,"Bovill",23,5,1952
1952-05-24,0,"Bovill",24,5,1952
1952-05-25,0,"Bovill",25,5,1952
1952-05-26,0,"Bovill",26,5,1952
1952-05-27,0,"Bovill",27,5,1952
1952-05-28,0,"Bovill",28,5,1952
1952-05-29,0,"Bovill",29,5,1952
1952-05-30,0,"Bovill",30,5,1952
1952-05-31,0,"Bovill",31,5,1952
1952-06-01,0,"Bovill",1,6,1952
1952-06-02,0,"Bovill",2,6,1952
1952-06-03,0,"Bovill",3,6,1952
1952-06-04,0,"Bovill",4,6,1952
1952-06-05,0,"Bovill",5,6,1952
1952-06-06,3.890625,"Bovill",6,6,1952
1952-06-07,3.1484375,"Bovill",7,6,1952
1952-06-08,0,"Bovill",8,6,1952
1952-06-09,0,"Bovill",9,6,1952
1952-06-10,6.2578125,"Bovill",10,6,1952
1952-06-11,4.6796875,"Bovill",11,6,1952
1952-06-12,25.03125,"Bovill",12,6,1952
1952-06-13,0,"Bovill",13,6,1952
1952-06-14,0,"Bovill",14,6,1952
1952-06-15,6.5,"Bovill",15,6,1952
1952-06-16,0.96875,"Bovill",16,6,1952
1952-06-17,0,"Bovill",17,6,1952
1952-06-18,0,"Bovill",18,6,1952
1952-06-19,3.921875,"Bovill",19,6,1952
1952-06-20,0,"Bovill",20,6,1952
1952-06-21,15.21875,"Bovill",21,6,1952
1952-06-22,1.6328125,"Bovill",22,6,1952
1952-06-23,0,"Bovill",23,6,1952
1952-06-24,1.1171875,"Bovill",24,6,1952
1952-06-25,1.2265625,"Bovill",25,6,1952
1952-06-26,2.546875,"Bovill",26,6,1952
1952-06-27,0,"Bovill",27,6,1952
1952-06-28,1.796875,"Bovill",28,6,1952
1952-06-29,14.3515625,"Bovill",29,6,1952
1952-06-30,8.3828125,"Bovill",30,6,1952
1952-07-01,4.46875,"Bovill",1,7,1952
1952-07-02,0,"Bovill",2,7,1952
1952-07-03,0,"Bovill",3,7,1952
1952-07-04,0,"Bovill",4,7,1952
1952-07-05,0,"Bovill",5,7,1952
1952-07-06,0,"Bovill",6,7,1952
1952-07-07,0,"Bovill",7,7,1952
1952-07-08,0,"Bovill",8,7,1952
1952-07-09,0,"Bovill",9,7,1952
1952-07-10,0,"Bovill",10,7,1952
1952-07-11,0,"Bovill",11,7,1952
1952-07-12,0.859375,"Bovill",12,7,1952
1952-07-13,0,"Bovill",13,7,1952
1952-07-14,0,"Bovill",14,7,1952
1952-07-15,0,"Bovill",15,7,1952
1952-07-16,0,"Bovill",16,7,1952
1952-07-17,0,"Bovill",17,7,1952
1952-07-18,0,"Bovill",18,7,1952
1952-07-19,0,"Bovill",19,7,1952
1952-07-20,0,"Bovill",20,7,1952
1952-07-21,0,"Bovill",21,7,1952
1952-07-22,0,"Bovill",22,7,1952
1952-07-23,0,"Bovill",23,7,1952
1952-07-24,1.0234375,"Bovill",24,7,1952
1952-07-25,0,"Bovill",25,7,1952
1952-07-26,0,"Bovill",26,7,1952
1952-07-27,0,"Bovill",27,7,1952
1952-07-28,0,"Bovill",28,7,1952
1952-07-29,0,"Bovill",29,7,1952
1952-07-30,0,"Bovill",30,7,1952
1952-07-31,0,"Bovill",31,7,1952
1952-08-01,0,"Bovill",1,8,1952
1952-08-02,0,"Bovill",2,8,1952
1952-08-03,0,"Bovill",3,8,1952
1952-08-04,0,"Bovill",4,8,1952
1952-08-05,0,"Bovill",5,8,1952
1952-08-06,0,"Bovill",6,8,1952
1952-08-07,0,"Bovill",7,8,1952
1952-08-08,0,"Bovill",8,8,1952
1952-08-09,0,"Bovill",9,8,1952
1952-08-10,3.2265625,"Bovill",10,8,1952
1952-08-11,0,"Bovill",11,8,1952
1952-08-12,0,"Bovill",12,8,1952
1952-08-13,0,"Bovill",13,8,1952
1952-08-14,0,"Bovill",14,8,1952
1952-08-15,0,"Bovill",15,8,1952
1952-08-16,0,"Bovill",16,8,1952
1952-08-17,0,"Bovill",17,8,1952
1952-08-18,0,"Bovill",18,8,1952
1952-08-19,0,"Bovill",19,8,1952
1952-08-20,0,"Bovill",20,8,1952
1952-08-21,0,"Bovill",21,8,1952
1952-08-22,0,"Bovill",22,8,1952
1952-08-23,0,"Bovill",23,8,1952
1952-08-24,0,"Bovill",24,8,1952
1952-08-25,0,"Bovill",25,8,1952
1952-08-26,0,"Bovill",26,8,1952
1952-08-27,0,"Bovill",27,8,1952
1952-08-28,0,"Bovill",28,8,1952
1952-08-29,0,"Bovill",29,8,1952
1952-08-30,0,"Bovill",30,8,1952
1952-08-31,0,"Bovill",31,8,1952
1952-09-01,0,"Bovill",1,9,1952
1952-09-02,0,"Bovill",2,9,1952
1952-09-03,0,"Bovill",3,9,1952
1952-09-04,7.703125,"Bovill",4,9,1952
1952-09-05,2.9765625,"Bovill",5,9,1952
1952-09-06,2.8671875,"Bovill",6,9,1952
1952-09-07,1.828125,"Bovill",7,9,1952
1952-09-08,0,"Bovill",8,9,1952
1952-09-09,3.328125,"Bovill",9,9,1952
1952-09-10,0,"Bovill",10,9,1952
1952-09-11,0,"Bovill",11,9,1952
1952-09-12,0,"Bovill",12,9,1952
1952-09-13,0,"Bovill",13,9,1952
1952-09-14,0,"Bovill",14,9,1952
1952-09-15,0,"Bovill",15,9,1952
1952-09-16,0,"Bovill",16,9,1952
1952-09-17,0,"Bovill",17,9,1952
1952-09-18,0,"Bovill",18,9,1952
